ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771266600,2026-02-16 18:30:00,29.9920,68108.20,0.00044036,1.0000,0.0000,9.9,0.2704,0.270442,52.527937,100.000000,0.000000,-0.057983,-0.073315,0.000000,-0.570866,0.363698,-0.018140,-5.158566,0.000014,-0.1352,-0.0843,-1.0000,0.1835,-0.0580,-0.0367,-0.0000,-1.0000,1.0000,-0.0363,0.1032,-0.0140,-0.1100,FLAT,0.0000|0.000000,29.9760,68107.00,29.9920,68108.20,-0.000036,-0.000050
1771266900,2026-02-16 18:35:00,29.8940,67979.90,0.00043975,0.8280,0.6528,9.4,0.0425,0.042513,47.909083,53.259942,0.000000,-0.030112,-0.058815,0.000000,-0.127184,-0.380958,-0.454478,-15.642167,-0.000069,-0.0213,0.0697,-0.1087,0.2392,-0.0301,-0.0294,-0.0000,-0.2544,-1.0000,-0.9090,0.3128,0.0690,-0.1362,FLAT,0.0000|0.000000,29.8530,67993.00,29.8940,67979.90,-0.000039,0.000030
1771266900,2026-02-16 18:35:00,29.8940,67979.90,0.00043975,1.0000,0.0000,9.5,0.0470,0.047014,48.202921,68.163077,0.000000,-0.049004,-0.072028,-0.063590,-0.127184,-0.041511,-0.455227,-15.474909,-0.000069,-0.0235,0.0599,-0.6054,0.1904,-0.0490,-0.0360,0.1272,-0.2544,-0.1384,-0.9105,0.3095,0.0690,-0.1014,FLAT,0.0000|0.000000,29.8535,67993.00,29.8940,67979.90,-0.000039,0.000030
1771267200,2026-02-16 18:40:00,29.8880,67968.70,0.00043973,0.8275,0.6527,9.3,0.0206,0.020602,47.813330,52.691153,0.000000,-0.029390,-0.059403,-0.002707,-0.971749,0.436592,-0.649843,-6.478498,-0.000074,-0.0103,0.0729,-0.0897,0.2081,-0.0294,-0.0297,0.0054,-1.0000,1.0000,-1.0000,0.1296,0.0740,-0.0650,FLAT,0.0000|0.000000,29.8835,68002.50,29.8880,67968.70,-0.000039,0.000035
1771267200,2026-02-16 18:40:00,29.8880,67968.70,0.00043973,1.0000,0.0000,9.4,0.0251,0.025140,48.092463,67.349979,0.000000,-0.041975,-0.070865,-0.057041,-0.971749,0.428930,-0.650207,-6.404935,-0.000074,-0.0126,0.0636,-0.5783,0.1893,-0.0420,-0.0354,0.1141,-1.0000,1.0000,-1.0000,0.1281,0.0740,-0.0960,FLAT,0.0000|0.000000,29.8835,68002.00,29.8880,67968.70,-0.000039,0.000035
1771267500,2026-02-16 18:45:00,29.8530,67897.30,0.00043968,0.8230,0.6514,9.6,-0.0121,-0.012128,47.470451,50.654386,0.000000,-0.029647,-0.060389,-0.010558,-0.691464,0.228786,-0.610410,-2.308184,-0.000108,0.0061,0.0843,-0.0218,0.1781,-0.0296,-0.0302,0.0211,-1.0000,0.7626,-1.0000,0.0462,0.1080,-0.0794,FLAT,0.0000|0.000000,29.8480,67901.50,29.8530,67897.20,-0.000070,0.000038
1771267500,2026-02-16 18:45:00,29.8530,67897.30,0.00043968,1.0000,0.0000,9.7,-0.0076,-0.007575,47.697454,64.442279,0.000000,-0.037417,-0.070280,-0.055554,-0.691464,0.234816,-0.610759,-2.234543,-0.000108,0.0038,0.0768,-0.4814,0.1795,-0.0374,-0.0351,0.1111,-1.0000,0.7827,-1.0000,0.0447,0.1080,-0.1056,FLAT,0.0000|0.000000,29.8480,67901.00,29.8530,67897.20,-0.000070,0.000038
1771267800,2026-02-16 18:50:00,29.8740,67950.60,0.00043964,0.8336,0.6639,11.0,-0.0314,-0.031408,47.224189,49.191549,0.000000,-0.030184,-0.061500,-0.014741,-0.606320,-0.109069,-0.759679,-6.921274,-0.000054,0.0157,0.0925,0.0269,0.1513,-0.0302,-0.0308,0.0295,-1.0000,-0.3636,-1.0000,0.1384,0.0540,-0.1638,FLAT,0.0000|0.000000,29.8575,67960.00,29.8740,67950.50,-0.000033,0.000021
1771267800,2026-02-16 18:50:00,29.8740,67950.60,0.00043964,1.0000,0.0000,11.2,-0.0269,-0.026863,47.414265,62.357690,0.000000,-0.034310,-0.069982,-0.053763,-0.606320,-0.109069,-0.758894,-7.088644,-0.000054,0.0134,0.0862,-0.4119,0.1660,-0.0343,-0.0350,0.1075,-1.0000,-0.3636,-1.0000,0.1418,0.0540,-0.1889,FLAT,0.0000|0.000000,29.8570,67960.00,29.8740,67950.50,-0.000033,0.000021
1771268100,2026-02-16 18:55:00,29.8620,67833.00,0.00044023,1.0000,0.0000,10.7,0.1682,0.168214,52.386838,98.961355,0.000000,-0.016907,-0.062153,0.059144,0.000000,0.145424,0.000000,-12.121235,-0.000065,-0.0841,-0.0796,-1.0000,0.2077,-0.0169,-0.0311,-0.1183,0.0000,0.4847,0.0000,0.2424,0.0650,-0.0295,FLAT,0.0000|0.000000,29.8575,67905.00,29.8620,67833.00,-0.000033,0.000032
1771268100,2026-02-16 18:55:00,29.8620,67833.00,0.00044023,0.8305,0.6648,10.5,0.1635,0.163472,51.637403,75.406826,0.000000,-0.015508,-0.054936,0.080905,0.000000,0.166896,0.000000,-12.362382,-0.000065,-0.0817,-0.0546,-0.8469,0.1851,-0.0155,-0.0275,-0.1618,0.0000,0.5563,0.0000,0.2472,0.0650,-0.0153,FLAT,0.0000|0.000000,29.8570,67905.50,29.8620,67833.00,-0.000033,0.000032
1771268400,2026-02-16 19:00:00,29.8770,67854.60,0.00044031,1.0000,0.0000,9.7,0.1811,0.181065,53.047925,100.000000,0.000000,-0.001937,-0.054074,0.060498,0.000000,0.058523,0.000000,-13.954406,-0.000065,-0.0905,-0.1016,-1.0000,0.2349,-0.0019,-0.0270,-0.1210,0.0000,0.1951,0.0000,0.2791,0.0650,-0.0499,FLAT,0.0000|0.000000,29.8575,67905.00,29.8770,67854.60,-0.000033,0.000032
