ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771277700,2026-02-16 21:35:00,30.4590,68506.60,0.00044461,0.7670,0.5981,4.0,2.1423,2.142265,67.587814,97.999625,0.000000,0.230115,0.199804,0.588996,-0.262170,0.730878,-0.375572,-7.207758,0.000099,-1.0000,-0.5863,-1.0000,1.0000,0.2301,0.0999,-1.0000,-0.5243,1.0000,-0.7511,0.1442,-0.0990,-0.2863,FLAT,0.0000|0.000000,30.4460,68515.50,30.4640,68506.60,0.000100,0.000001
1771278000,2026-02-16 21:40:00,30.4270,68521.70,0.00044405,0.9051,0.6236,4.4,1.7552,1.755168,63.408148,75.256236,0.000000,0.237711,0.219853,0.435049,-0.862506,0.131794,-0.275387,-1.198753,0.000039,-0.8776,-0.4469,-0.8419,0.9287,0.2377,0.1099,-0.8701,-1.0000,0.4393,-0.5508,0.0240,-0.0390,-0.3179,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.4075,68486.00,30.4270,68521.70,0.000050,0.000011
1771278300,2026-02-16 21:45:00,30.5040,68502.00,0.00044530,0.9044,0.6201,4.9,2.4645,2.464537,68.113083,100.000000,0.000000,0.269699,0.252336,0.638472,-0.416140,0.193171,-0.053100,-3.990232,-0.000074,-1.0000,-0.6038,-1.0000,1.0000,0.2697,0.1262,-1.0000,-0.8323,0.6439,-0.1062,0.0798,0.0740,-0.2919,FLAT,0.0000|0.000000,30.4945,68508.00,30.5040,68502.00,-0.000054,0.000020
1771278600,2026-02-16 21:50:00,30.4960,68486.30,0.00044529,0.9123,0.6177,5.0,2.3985,2.398531,68.002281,99.402204,0.000000,0.287638,0.279779,0.627964,-0.008493,-0.657055,-0.237086,-9.507732,0.000053,-1.0000,-0.6001,-1.0000,1.0000,0.2876,0.1399,-1.0000,-0.0170,-1.0000,-0.4742,0.1902,-0.0530,-0.3660,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.4760,68506.50,30.4960,68486.30,0.000066,0.000013
1771278900,2026-02-16 21:55:00,30.6020,68835.10,0.00044457,0.9011,0.6282,5.1,1.9274,1.927413,62.662812,62.974281,0.000000,0.277805,0.293961,0.452990,-0.254793,-0.251817,-0.048069,-2.709097,-0.000025,-0.9637,-0.4221,-0.4325,0.7969,0.2778,0.1470,-0.9060,-0.5096,-0.8394,-0.0961,0.0542,0.0250,-0.3318,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.5990,68847.00,30.6020,68835.10,-0.000028,-0.000003
1771279200,2026-02-16 22:00:00,30.5560,68766.10,0.00044435,0.8963,0.6259,5.3,1.7574,1.757375,61.056852,52.064396,0.000000,0.260113,0.302654,0.393836,-0.199292,-0.550423,0.470033,15.274314,0.000012,-0.8787,-0.3686,-0.0688,0.5634,0.2601,0.1513,-0.7877,-0.3986,-1.0000,0.9401,-0.3055,-0.0120,-0.2504,FLAT,0.0000|0.000000,30.6280,68823.00,30.5560,68766.00,0.000009,-0.000003
1771279500,2026-02-16 22:05:00,30.6500,68712.00,0.00044606,0.8893,0.6176,6.2,2.6485,2.648529,67.888772,98.476166,0.000000,0.284707,0.330703,0.771384,0.144983,0.265458,-0.634107,-38.014090,0.000181,-1.0000,-0.5963,-1.0000,0.6774,0.2847,0.1654,-1.0000,0.2900,0.8849,-1.0000,0.7603,-0.1810,-0.2302,FLAT,0.0000|0.000000,30.5830,68823.00,30.6500,68712.00,0.000104,-0.000077
1771279800,2026-02-16 22:10:00,30.8140,68733.80,0.00044831,0.8888,0.6059,9.3,3.6330,3.633040,74.246084,100.000000,0.000000,0.352416,0.382152,1.123737,-0.346305,0.425375,0.560298,-150.335247,0.000159,-1.0000,-0.8082,-1.0000,1.0000,0.3524,0.1911,-1.0000,-0.6926,1.0000,1.0000,1.0000,-0.1590,-0.1441,FLAT,0.0000|0.000000,30.3595,68755.50,30.8130,68733.80,0.000150,-0.000009
1771280100,2026-02-16 22:15:00,30.7650,68746.60,0.00044751,0.8915,0.6087,9.2,3.0336,3.033626,69.025445,74.964845,0.000000,0.375595,0.416043,0.924059,-0.485028,-0.389489,0.493578,-137.201901,0.000044,-1.0000,-0.6342,-0.8322,1.0000,0.3756,0.2080,-1.0000,-0.9701,-1.0000,0.9872,1.0000,-0.0440,-0.2986,FLAT,0.0000|0.000000,30.3480,68758.00,30.7650,68746.60,0.000055,0.000011
1771280400,2026-02-16 22:20:00,30.7840,68652.80,0.00044840,0.8857,0.6064,12.5,3.2554,3.255439,71.438059,81.635000,0.000000,0.407281,0.455405,1.111699,-0.562202,0.063813,-0.025519,-153.919765,0.000043,-1.0000,-0.7146,-1.0000,1.0000,0.4073,0.2277,-1.0000,-1.0000,0.2127,-0.0510,1.0000,-0.0430,-0.2919,FLAT,0.0000|0.000000,30.3560,68755.00,30.7840,68652.80,-0.000016,-0.000059
