ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771286400,2026-02-17 00:00:00,31.3560,68796.10,0.00045578,0.9761,0.5041,inf,3.2234,3.223413,73.795268,100.000000,0.000000,0.480345,0.769945,0.142772,0.000000,0.372355,0.000000,-348.603413,-0.000065,-1.0000,-0.7932,-1.0000,0.8733,0.4803,0.3850,-0.2855,0.0000,1.0000,0.0000,1.0000,0.0650,-0.0752,FLAT,0.0000|0.000000,29.8570,67905.50,31.3560,68796.10,-0.000033,0.000032
ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771286400,2026-02-17 00:00:00,31.3560,68796.10,0.00045578,1.0000,0.0000,inf,3.2198,3.219808,73.811251,100.000000,0.000000,0.480392,0.770829,0.142772,0.000000,0.372310,0.000000,-348.371275,-0.000065,-1.0000,-0.7937,-1.0000,0.8747,0.4804,0.3854,-0.2855,0.0000,1.0000,0.0000,1.0000,0.0650,-0.0751,FLAT,0.0000|0.000000,29.8575,67905.00,31.3560,68796.10,-0.000033,0.000032
1771286700,2026-02-17 00:05:00,31.2130,68813.60,0.00045359,1.0356,0.5204,inf,2.5562,2.556204,63.969868,44.990012,0.000000,0.475772,0.788828,-0.255471,0.000000,-0.354645,0.000000,-304.613923,-0.000065,-1.0000,-0.4657,0.1670,0.7322,0.4758,0.3944,0.5109,0.0000,-1.0000,0.0000,1.0000,0.0650,-0.0855,FLAT,0.0000|0.000000,29.8570,67905.50,31.2200,68813.60,-0.000033,0.000032
1771286700,2026-02-17 00:05:00,31.2130,68813.60,0.00045359,1.0000,0.0000,inf,2.5540,2.554021,63.978840,44.947937,0.000000,0.475814,0.789683,-0.255471,0.000000,-0.354601,0.000000,-304.381109,-0.000065,-1.0000,-0.4660,0.1684,0.7332,0.4758,0.3948,0.5109,0.0000,-1.0000,0.0000,1.0000,0.0650,-0.0853,FLAT,0.0000|0.000000,29.8575,67905.00,31.2200,68813.60,-0.000033,0.000032
1771287000,2026-02-17 00:10:00,31.1700,68877.80,0.00045254,1.0000,0.0000,981.5,2.2184,2.218386,59.879230,21.994052,0.000000,0.438513,0.790714,-0.446525,0.000000,-0.070636,0.000000,-279.842322,-0.000065,-1.0000,-0.3293,0.9335,0.4223,0.4385,0.3954,0.8930,0.0000,-0.2355,0.0000,1.0000,0.0650,0.0330,FLAT,0.0000|0.000000,29.8575,67905.00,31.1700,68877.80,-0.000033,0.000032
1771287000,2026-02-17 00:10:00,31.1700,68877.80,0.00045254,1.0301,0.5136,513.7,2.2199,2.219895,59.872737,22.051191,0.000000,0.438475,0.789888,-0.446525,0.000000,-0.070636,0.000000,-280.075325,-0.000065,-1.0000,-0.3291,0.9316,0.4219,0.4385,0.3949,0.8930,0.0000,-0.2355,0.0000,1.0000,0.0650,0.0328,FLAT,0.0000|0.000000,29.8570,67905.50,31.1700,68877.80,-0.000033,0.000032
1771287300,2026-02-17 00:15:00,31.2240,68712.20,0.00045442,1.0000,0.0000,inf,2.5452,2.545174,64.294921,46.717687,0.000000,0.448668,0.812076,-0.028597,0.000000,0.631166,0.000000,-320.168621,-0.000065,-1.0000,-0.4765,0.1094,0.4289,0.4487,0.4060,0.0572,0.0000,1.0000,0.0000,1.0000,0.0650,0.0059,FLAT,0.0000|0.000000,29.8575,67905.00,31.2240,68712.20,-0.000033,0.000032
1771287300,2026-02-17 00:15:00,31.2240,68712.20,0.00045442,0.9630,0.4865,inf,2.5473,2.547335,64.287316,46.767330,0.000000,0.448633,0.811278,-0.028597,0.000000,0.631166,0.000000,-320.401521,-0.000065,-1.0000,-0.4762,0.1078,0.4285,0.4486,0.4056,0.0572,0.0000,1.0000,0.0000,1.0000,0.0650,0.0057,FLAT,0.0000|0.000000,29.8570,67905.50,31.2240,68712.20,-0.000033,0.000032
1771287600,2026-02-17 00:20:00,31.2540,68749.50,0.00045461,1.0000,0.0000,inf,2.4810,2.481012,64.717941,34.730865,0.000000,0.452397,0.830426,0.012071,0.000000,-0.057125,0.000000,-323.985550,-0.000065,-1.0000,-0.4906,0.5090,0.3977,0.4524,0.4152,-0.0241,0.0000,-0.1904,0.0000,1.0000,0.0650,-0.0706,FLAT,0.0000|0.000000,29.8575,67905.00,31.2540,68749.50,-0.000033,0.000032
