ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771286400,2026-02-17 00:00:00,31.3560,68796.10,0.00045578,1.0210,0.5199,inf,3.2210,3.221007,73.805177,100.000000,0.000000,0.480380,0.770612,0.142772,-0.126139,0.372348,-0.212622,-4.933034,0.000018,-1.0000,-0.7935,-1.0000,0.8743,0.4804,0.3853,-0.2855,-0.2523,1.0000,-0.4252,0.0987,-0.0180,-0.1793,FLAT,0.0000|0.000000,31.3455,68807.00,31.3560,68796.10,0.000044,0.000026
1771286700,2026-02-17 00:05:00,31.2130,68813.60,0.00045359,1.0830,0.5365,inf,2.5548,2.554789,63.975543,44.962432,0.000000,0.475804,0.789474,-0.255471,0.424440,-0.354645,0.430370,-6.840904,0.000117,-1.0000,-0.4659,0.1679,0.7330,0.4758,0.3947,0.5109,0.8489,-1.0000,0.8607,0.1368,-0.1170,0.0075,FLAT,0.0000|0.000000,31.2020,68821.00,31.2200,68813.60,0.000108,-0.000009
1771287000,2026-02-17 00:10:00,31.1700,68877.80,0.00045254,1.0780,0.5298,769.7,2.2189,2.218948,59.876912,22.013591,0.000000,0.438504,0.790512,-0.446525,-0.434861,-0.070636,0.394195,0.858373,0.000077,-1.0000,-0.3292,0.9329,0.4222,0.4385,0.3953,0.8930,-0.8697,-0.2355,0.7884,-0.0172,-0.0770,-0.0568,FLAT,0.0000|0.000000,31.1610,68852.00,31.1700,68877.80,0.000088,0.000011
1771287300,2026-02-17 00:15:00,31.2240,68712.20,0.00045442,1.0084,0.5023,inf,2.5459,2.545911,64.292122,46.735005,0.000000,0.448659,0.811880,-0.028597,-0.051742,0.631166,0.020852,-8.850762,0.000078,-1.0000,-0.4764,0.1088,0.4288,0.4487,0.4059,0.0572,-0.1035,1.0000,0.0417,0.1770,-0.0780,-0.0499,FLAT,0.0000|0.000000,31.1990,68718.00,31.2240,68712.20,0.000087,0.000009
1771287600,2026-02-17 00:20:00,31.2540,68749.50,0.00045461,1.0012,0.5010,inf,2.4817,2.481692,64.715106,34.736515,0.000000,0.452389,0.830236,0.012071,-0.523273,-0.057125,-0.153077,-6.384765,0.000089,-1.0000,-0.4905,0.5088,0.3976,0.4524,0.4151,-0.0241,-1.0000,-0.1904,-0.3062,0.1277,-0.0890,-0.2433,FLAT,0.0000|0.000000,31.2370,68756.00,31.2540,68749.50,0.000113,0.000024
1771287900,2026-02-17 00:25:00,31.2490,68847.90,0.00045388,0.9865,0.4963,inf,2.2386,2.238603,61.718911,13.224902,0.000000,0.429419,0.834714,-0.139906,-0.341780,-0.053780,0.133573,-7.061365,0.000099,-1.0000,-0.3906,1.0000,0.2159,0.4294,0.4174,0.2798,-0.6836,-0.1793,0.2671,0.1412,-0.0990,-0.1267,FLAT,0.0000|0.000000,31.2440,68885.50,31.2490,68847.90,0.000110,0.000011
1771288200,2026-02-17 00:30:00,31.2200,68836.70,0.00045354,0.9122,0.4752,inf,2.0924,2.092445,60.273485,2.847253,0.000000,0.396518,0.831628,-0.208301,0.485438,-0.211661,0.278204,-9.539748,0.000091,-1.0000,-0.3424,1.0000,0.0013,0.3965,0.4158,0.4166,0.9709,-0.7055,0.5564,0.1908,-0.0910,0.0090,FLAT,0.0000|0.000000,31.2060,68871.50,31.2200,68836.70,0.000094,0.000003
1771288500,2026-02-17 00:35:00,31.1880,68882.20,0.00045277,0.8889,0.4652,335.1,1.8750,1.875016,57.105810,0.000000,-0.000000,0.346971,0.816822,-0.364997,-0.302984,-0.317660,-0.067521,-6.831231,0.000107,-0.9375,-0.2369,1.0000,-0.2808,0.3470,0.4084,0.7300,-0.6060,-1.0000,-0.1350,0.1366,-0.1070,-0.2138,FLAT,0.0000|0.000000,31.1700,68889.50,31.1880,68882.20,0.000109,0.000002
1771288800,2026-02-17 00:40:00,31.0960,68841.80,0.00045170,0.9029,0.4674,104.5,1.6118,1.611763,52.909930,0.000000,-0.000000,0.278836,0.788061,-0.565100,0.074813,-0.753056,0.143006,-11.652699,0.000101,-0.8059,-0.0970,1.0000,-0.6327,0.2788,0.3940,1.0000,0.1496,-1.0000,0.2860,0.2331,-0.1010,-0.0886,FLAT,0.0000|0.000000,31.0585,68839.00,31.0960,68841.80,0.000107,0.000006
1771289100,2026-02-17 00:45:00,31.3030,69008.60,0.00045361,0.9329,0.4778,397.4,1.9428,1.942780,58.728932,27.848450,-0.000000,0.270190,0.783654,-0.127389,-0.109633,0.043900,0.014356,-10.953039,0.000052,-0.9714,-0.2910,0.7384,-0.5924,0.2702,0.3918,0.2548,-0.2193,0.1463,0.0287,0.2191,-0.0520,-0.1659,FLAT,0.0000|0.000000,31.2620,68991.00,31.3030,69005.80,0.000050,-0.000002
