ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771372800,2026-02-18 00:00:00,29.5750,67505.70,0.00043811,1.0000,0.0000,12.5,-0.2739,-0.273911,46.127819,86.413741,-0.000000,-0.090928,-0.017944,0.043759,0.000000,-0.741870,0.000000,36.369304,-0.000065,0.1370,0.1291,-1.0000,-0.0983,-0.0909,-0.0090,-0.0875,0.0000,-1.0000,0.0000,-0.7274,0.0650,-0.1691,FLAT,0.0000|0.000000,29.8575,67905.00,29.5750,67505.70,-0.000033,0.000032
1771372800,2026-02-18 00:00:00,29.5750,67505.70,0.00043811,1.1859,0.7661,12.5,-0.2739,-0.273911,46.127819,86.413741,-0.000000,-0.090928,-0.017944,0.043759,0.000000,-0.741735,0.000000,36.126175,-0.000065,0.1370,0.1291,-1.0000,-0.0983,-0.0909,-0.0090,-0.0875,0.0000,-1.0000,0.0000,-0.7225,0.0650,-0.1688,FLAT,0.0000|0.000000,29.8570,67905.50,29.5750,67505.70,-0.000033,0.000032
1771373100,2026-02-18 00:05:00,29.4730,67574.00,0.00043616,1.0000,0.0000,12.9,-1.0881,-1.088077,35.686161,21.852757,-0.000000,-0.131871,-0.047193,-0.306214,0.000000,-0.426210,0.000000,80.210848,-0.000065,0.5440,0.4771,0.9382,-0.2564,-0.1319,-0.0236,0.6124,0.0000,-1.0000,0.0000,-1.0000,0.0650,0.0914,FLAT,0.0000|0.000000,29.8575,67905.00,29.4730,67565.50,-0.000033,0.000032
1771373100,2026-02-18 00:05:00,29.4730,67574.00,0.00043616,1.1645,0.7470,12.9,-1.0881,-1.088077,35.686161,21.852757,-0.000000,-0.131871,-0.047193,-0.306214,0.000000,-0.426392,0.000000,79.967199,-0.000065,0.5440,0.4771,0.9382,-0.2564,-0.1319,-0.0236,0.6124,0.0000,-1.0000,0.0000,-1.0000,0.0650,0.0914,FLAT,0.0000|0.000000,29.8570,67905.50,29.4730,67565.50,-0.000033,0.000032
1771373400,2026-02-18 00:10:00,29.4340,67590.20,0.00043548,1.0000,0.0000,13.8,-1.3487,-1.348745,32.887348,0.000000,-0.000000,-0.176284,-0.081272,-0.374202,0.000000,0.029251,0.000000,97.306426,-0.000065,0.6744,0.5704,1.0000,-0.4066,-0.1763,-0.0406,0.7484,0.0000,0.0975,0.0000,-1.0000,0.0650,0.2072,FLAT,0.0000|0.000000,29.8575,67905.00,29.4340,67590.20,-0.000033,0.000032
1771373400,2026-02-18 00:10:00,29.4340,67590.20,0.00043548,1.1649,0.7445,13.8,-1.3487,-1.348745,32.887348,0.000000,-0.000000,-0.176284,-0.081272,-0.374202,0.000000,0.029251,0.000000,97.062580,-0.000065,0.6744,0.5704,1.0000,-0.4066,-0.1763,-0.0406,0.7484,0.0000,0.0975,0.0000,-1.0000,0.0650,0.2072,FLAT,0.0000|0.000000,29.8570,67905.50,29.4340,67590.20,-0.000033,0.000032
1771373700,2026-02-18 00:15:00,29.3740,67549.90,0.00043485,1.0000,0.0000,15.6,-1.5767,-1.576749,30.511172,0.000000,-0.000000,-0.221120,-0.118823,-0.435254,0.000000,-0.319320,0.000000,112.032803,-0.000065,0.7884,0.6496,1.0000,-0.5377,-0.2211,-0.0594,0.8705,0.0000,-1.0000,0.0000,-1.0000,0.0650,0.1394,FLAT,0.0000|0.000000,29.8575,67905.00,29.3740,67549.90,-0.000033,0.000032
1771373700,2026-02-18 00:15:00,29.3740,67549.90,0.00043485,1.1773,0.7485,15.6,-1.5767,-1.576749,30.511172,0.000000,-0.000000,-0.221120,-0.118823,-0.435254,0.000000,-0.319320,0.000000,111.788565,-0.000065,0.7884,0.6496,1.0000,-0.5377,-0.2211,-0.0594,0.8705,0.0000,-1.0000,0.0000,-1.0000,0.0650,0.1394,FLAT,0.0000|0.000000,29.8570,67905.50,29.3740,67549.90,-0.000033,0.000032
1771374000,2026-02-18 00:20:00,29.2950,67510.00,0.00043394,1.0000,0.0000,18.2,-1.9000,-1.899987,27.411772,0.000000,-0.000000,-0.272596,-0.162888,-0.550642,0.000000,0.021674,0.000000,133.502438,-0.000065,0.9500,0.7529,1.0000,-0.6778,-0.2726,-0.0814,1.0000,0.0000,0.0722,0.0000,-1.0000,0.0650,0.2556,FLAT,0.0000|0.000000,29.8575,67905.00,29.2950,67510.00,-0.000033,0.000032
1771374000,2026-02-18 00:20:00,29.2950,67510.00,0.00043394,1.1342,0.7205,18.2,-1.9000,-1.899987,27.411772,0.000000,-0.000000,-0.272596,-0.162888,-0.550642,0.000000,0.021674,0.000000,133.257698,-0.000065,0.9500,0.7529,1.0000,-0.6778,-0.2726,-0.0814,1.0000,0.0000,0.0722,0.0000,-1.0000,0.0650,0.2556,FLAT,0.0000|0.000000,29.8570,67905.50,29.2950,67510.00,-0.000033,0.000032
1771374300,2026-02-18 00:25:00,29.3320,67466.00,0.00043477,1.0000,0.0000,13.6,-1.5303,-1.530255,33.986799,31.439306,-0.000000,-0.284369,-0.190530,-0.319608,0.000000,-0.327678,0.000000,114.086058,-0.000065,0.7651,0.5338,0.6187,-0.6361,-0.2844,-0.0953,0.6392,0.0000,-1.0000,0.0000,-1.0000,0.0650,0.0659,FLAT,0.0000|0.000000,29.8575,67905.00,29.3320,67466.00,-0.000033,0.000032
1771374300,2026-02-18 00:25:00,29.3320,67466.00,0.00043477,1.1328,0.7342,13.6,-1.5303,-1.530255,33.986799,31.439306,-0.000000,-0.284369,-0.190530,-0.319608,0.000000,-0.327678,0.000000,113.841484,-0.000065,0.7651,0.5338,0.6187,-0.6361,-0.2844,-0.0953,0.6392,0.0000,-1.0000,0.0000,-1.0000,0.0650,0.0659,FLAT,0.0000|0.000000,29.8570,67905.50,29.3320,67466.00,-0.000033,0.000032
